image,width,height,method,psnr,time_idct_ms,time_total_ms,time_dct_ms,time_upsample_ms
8.png,768,512,lut,31.578179810604098,58198.405742645264,59002.13289260864,724.6918678283691,2.003192901611328
8.png,768,512,fft,28.523001820456344,866.9571876525879,1223.7162590026855,290.8802032470703,1.001596450805664
8.png,768,512,aan,27.86629343185126,136.53230667114258,519.81520652771,323.29273223876953,2.003908157348633
9.png,512,768,baseline,35.45302911100139,133.01372528076172,404.79111671447754,212.99457550048828,2.085447311401367
9.png,512,768,vectorized,35.45302911100139,114.03036117553711,385.5397701263428,211.8544578552246,2.004861831665039
9.png,512,768,direct,35.45302911100139,114.7000789642334,387.8772258758545,211.76838874816895,4.036903381347656
9.png,512,768,separable,35.45302911100139,9455.091714859009,9773.946762084961,259.1562271118164,2.091646194458008
9.png,512,768,lut,35.45302911100139,36831.313610076904,37103.25837135315,213.60254287719727,2.003192901611328
9.png,512,768,fft,31.19559048168594,823.4655857086182,1093.320608139038,210.67309379577637,2.0034313201904297
9.png,512,768,aan,28.331501640428574,117.74897575378418,397.09973335266113,214.31708335876465,2.003192901611328
